,Subject-ID,Label,CH22_Sim-corr,CH23_A-P2P,CH23_E-Shannon,CH23_Sim-corr,CH24_Sim-corr,CH26_A-P2P,CH26_A-RMS,CH25_meanRR,CH25_slopeRR,Label_ord
0,20120713-09_w_21,level_one,0.041794363084581,94.5230909467908,6.53466280323988,0.0725790647000612,0.00234917492011389,1.007,14.562984967135,0.6998415356096394,0.008705357142857159,1
1,20120713-09_w_21,level_zero,0.328438099009532,64.8224151838215,6.16088053385152,0.448689300482904,0.0805828215342408,0.446000000000002,14.3434715894668,0.7243383789698564,-0.0013950892857142912,0
2,20120713-09_w_21,level_two,0.0302957381242857,62.1464836878532,6.58862124394707,0.0883472758465956,0.0151292441527918,0.16,13.7768718846409,0.8096654275092936,-0.01104910714285713,2
4,20120713-09_w_21,level_zero,0.0552828735585744,54.6689661231624,6.25352566503853,0.230650260475559,0.0551542182933551,0.0640000000000001,13.2448327097957,0.7282721140366211,0.01618303571428573,0
5,20120713-09_w_21,level_one,0.0582479384071102,54.0383915102812,5.92509251568388,0.26485951664022,0.0145941603654615,0.0800000000000001,13.158489907363,0.7406648705216985,0.01988002232142862,1
6,20120713-09_w_21,level_zero,0.00640313693457306,58.2289866338063,6.32806246204217,0.248742262797132,0.0496239913139012,0.218,13.3114280138472,0.7467601115505897,-0.009151785714285699,0
7,20120713-09_w_21,level_two,0.029957287321686,74.9211656626436,5.85279118795623,0.0770635222157163,0.0437099719202795,0.112,13.1867177016358,0.7447950393438119,-0.005440848214285744,2
8,20120713-09_w_21,level_four,0.0106201800525908,108.101366438978,6.35593947500854,0.0354930859650283,0.00374094156227106,0.834,13.2212587685619,0.6863836352978433,-0.014299665178571428,4
9,20120713-09_w_21,level_three,0.0258816834671006,50.9077904724957,5.34543307482957,0.30428116683195,0.00185149397901549,0.119,13.1564019844496,0.7617381328891162,0.014229910714285723,3
10,20120713-09_w_21,level_four,0.00534460902729794,36.494271499619,5.67719609090794,0.354732169068332,0.00747406308193082,0.0869999999999997,12.8547698957674,0.6652456174997077,-0.012974330357142903,4
11,20120713-09_w_21,level_two,0.00438757451324476,33.0775046636119,4.93510741253515,0.20490979236176,0.00711202832633695,0.168000000000001,12.7589786259545,0.7446622994186588,0.008440290178571412,2
12,20120713-09_w_21,level_two,0.00861417579374297,51.561888557093,4.75250330197578,0.283516191293277,0.0265154233527258,0.0589999999999993,12.4425200498811,0.7657807193224847,-0.011607142857142823,2
13,20120713-09_w_21,level_two,0.0133157140249526,33.9002484121382,3.68525459921757,0.222359749658782,0.00741078265250468,0.0339999999999989,12.338188273797,0.7178784900036466,-0.0018973214285713615,2
14,20120713-09_w_21,level_three,0.00657463716661565,38.4727756501329,4.2031116689372,0.137802049031692,0.00261608775997311,0.116,12.359814465141,0.7265661957881904,-0.001046316964285699,3
15,20120713-09_w_21,level_one,0.0305821800211335,36.8368993561346,3.86386871487063,0.181621771242228,0.0120927692869847,0.0879999999999992,12.1405301175283,0.7107483645151882,0.0021623883928571603,1
